,Feature,Classifier,ROC AUC,Accuracy,Correlation,Norm Confusion Matrix,Retrieval Calls,In-Accuracy_init_mean,In-Accuracy_bootstrap_mean,In-Accuracy_CI_lower,In-Accuracy_CI_higher,In-Accuracy_std,Mean Tokens_init_mean,Mean Tokens_bootstrap_mean,Mean Tokens_CI_lower,Mean Tokens_CI_higher,Mean Tokens_std,EM_init_mean,EM_bootstrap_mean,EM_CI_lower,EM_CI_higher,EM_std,F1_init_mean,F1_bootstrap_mean,F1_CI_lower,F1_CI_higher,F1_std,Dataset,LLM Call,is_baseline,UC_rate,overconfidence,conservativeness
542,Hybrid,KNN,0.617,0.816,0.0,"[[0.018, 0.158], [0.026, 0.798]]",0.96,0.314,0.314,0.272,0.354,0.02,2101.686,2102.228,2060.216,2143.27,21.131,0.254,0.254,0.216,0.294,0.02,0.393,0.393,0.355,0.431,0.019,squad,1.96,0,0.956,0.026,0.158
543,Hybrid,MLP,0.62,0.82,0.0,"[[0.014, 0.162], [0.018, 0.806]]",0.97,0.314,0.314,0.274,0.352,0.02,2126.024,2125.942,2090.398,2158.423,18.016,0.254,0.254,0.216,0.294,0.02,0.392,0.392,0.353,0.431,0.019,squad,1.97,0,0.968,0.018,0.162
544,Hybrid,Decision Tree,0.592,0.816,0.0,"[[0.038, 0.138], [0.046, 0.778]]",0.92,0.298,0.298,0.258,0.336,0.02,2012.14,2011.931,1958.388,2065.392,27.296,0.24,0.24,0.202,0.278,0.019,0.378,0.378,0.34,0.415,0.019,squad,1.92,0,0.916,0.046,0.138
545,All Context,,,,,,1.0,0.312,0.312,0.274,0.35,0.02,,,,,,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,1.0,1,,,
546,No Context,,,,,,0.0,0.176,0.175,0.142,0.208,0.017,,,,,,0.156,0.156,0.122,0.186,0.016,0.249,0.249,0.218,0.281,0.017,squad,1.0,1,,,
547,Ideal,,,,,,0.82,0.36,0.36,0.32,0.4,0.021,1811.782,1813.152,1742.139,1887.104,36.582,0.3,0.3,0.26,0.342,0.021,0.43,0.431,0.391,0.469,0.02,squad,1.0,1,,,
548,Perplexity,Logistic Regression,0.671,0.682,0.275,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
549,Perplexity,KNN,0.596,0.658,0.275,"[[0.036, 0.282], [0.06, 0.622]]",0.9,0.36,0.359,0.316,0.402,0.022,1392.53,1391.995,1333.217,1449.354,30.211,0.294,0.294,0.256,0.334,0.021,0.384,0.384,0.344,0.422,0.02,2wikimultihopqa,1.9,0,0.904,0.06,0.282
550,Perplexity,MLP,0.671,0.682,0.275,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
551,Perplexity,Decision Tree,0.626,0.67,0.275,"[[0.014, 0.304], [0.026, 0.656]]",0.96,0.372,0.371,0.328,0.414,0.022,1472.706,1472.851,1416.435,1523.685,26.809,0.304,0.304,0.264,0.342,0.021,0.397,0.397,0.357,0.435,0.02,2wikimultihopqa,1.96,0,0.96,0.026,0.304
552,Perplexity,Threshold,0.671,0.682,0.275,"[[0.018, 0.3], [0.018, 0.664]]",0.96,0.376,0.375,0.332,0.416,0.022,1477.856,1478.033,1425.723,1531.329,26.769,0.304,0.304,0.266,0.344,0.02,0.398,0.398,0.358,0.435,0.02,2wikimultihopqa,1.96,0,0.964,0.018,0.3
553,Mean Entropy,Logistic Regression,0.675,0.682,0.282,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
554,Mean Entropy,KNN,0.604,0.676,0.282,"[[0.03, 0.288], [0.036, 0.646]]",0.93,0.378,0.377,0.33,0.42,0.022,1435.36,1435.506,1381.334,1486.526,27.326,0.306,0.305,0.266,0.346,0.021,0.397,0.396,0.356,0.434,0.02,2wikimultihopqa,1.9300000000000002,0,0.934,0.036,0.288
555,Mean Entropy,MLP,0.675,0.682,0.282,"[[0.002, 0.316], [0.002, 0.68]]",1.0,0.376,0.375,0.33,0.416,0.022,1530.896,1531.07,1480.945,1578.056,24.231,0.304,0.304,0.264,0.344,0.02,0.398,0.398,0.359,0.436,0.02,2wikimultihopqa,2.0,0,0.996,0.002,0.316
556,Mean Entropy,Decision Tree,0.642,0.674,0.282,"[[0.01, 0.308], [0.018, 0.664]]",0.97,0.372,0.371,0.326,0.414,0.022,1494.866,1495.079,1446.77,1545.667,25.881,0.302,0.302,0.262,0.342,0.02,0.395,0.394,0.355,0.431,0.02,2wikimultihopqa,1.97,0,0.972,0.018,0.308
557,Mean Entropy,Threshold,0.675,0.684,0.282,"[[0.008, 0.31], [0.006, 0.676]]",0.99,0.378,0.377,0.334,0.42,0.022,1515.248,1515.795,1467.127,1562.973,24.93,0.306,0.306,0.268,0.346,0.021,0.4,0.4,0.36,0.437,0.02,2wikimultihopqa,1.99,0,0.986,0.006,0.31
558,Max Entropy,Logistic Regression,0.621,0.682,0.194,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
559,Max Entropy,KNN,0.583,0.688,0.194,"[[0.03, 0.288], [0.024, 0.658]]",0.95,0.376,0.375,0.332,0.418,0.022,1450.944,1451.605,1398.731,1508.314,27.683,0.304,0.304,0.264,0.346,0.021,0.398,0.398,0.358,0.436,0.02,2wikimultihopqa,1.95,0,0.946,0.024,0.288
560,Max Entropy,MLP,0.621,0.682,0.194,"[[0.0, 0.318], [0.0, 0.682]]",1.0,0.374,0.373,0.33,0.414,0.022,1539.182,1539.582,1491.973,1587.556,23.908,0.302,0.302,0.262,0.342,0.02,0.396,0.396,0.355,0.433,0.02,2wikimultihopqa,2.0,0,1.0,0.0,0.318
561,Max Entropy,Decision Tree,0.597,0.662,0.194,"[[0.014, 0.304], [0.034, 0.648]]",0.95,0.364,0.363,0.32,0.404,0.022,1462.226,1462.301,1409.546,1514.315,26.74,0.296,0.296,0.258,0.336,0.02,0.387,0.387,0.347,0.424,0.02,2wikimultihopqa,1.95,0,0.952,0.034,0.304
